state,category,characteristics,noconf
NM,Presence of children under 18 years old,Children in household,"9,051"
NM,Presence of children under 18 years old,No children,"23,256"
NM,Respondent or household member experienced loss of employment income,Yes,"30,062"
NM,Respondent or household member experienced loss of employment income,No,"2,245"
NM,Respondent or household member experienced loss of employment income,Did not report,-
NM,Respondent currently employed,Yes,"2,446"
NM,Respondent currently employed,No,"29,861"
NM,Respondent currently employed,Did not report,-
NM,Household income,"Less than $25,000","10,796"
NM,Household income,"$25,000 - $34,999","15,940"
NM,Household income,"$35,000 - $49,999",578
NM,Household income,"$50,000 - $74,999","3,732"
NM,Household income,"$75,000 - $99,999",821
NM,Household income,"$100,000 - $149,999",-
NM,Household income,"$150,000 - $199,999",-
NM,Household income,"$200,000 and above",-
NM,Household income,Did not report,440
NY,Total,Total,"763,819"
NY,Age,18 - 24,-
NY,Age,25 - 39,"402,366"
NY,Age,40 - 54,"220,648"
NY,Age,55 - 64,"47,537"
NY,Age,65 and above,"93,268"
NY,Sex,Male,"444,804"
NY,Sex,Female,"319,015"
NY,Hispanic origin and Race,Hispanic or Latino (may be of any race),"259,480"
NY,Hispanic origin and Race,"White alone, not Hispanic","274,700"
NY,Hispanic origin and Race,"Black alone, not Hispanic","105,357"
NY,Hispanic origin and Race,"Asian alone, not Hispanic","81,483"
NY,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","42,799"
NY,Education,Less than high school,"282,053"
NY,Education,High school or GED,"110,249"
NY,Education,Some college/associateês degree,"204,318"
NY,Education,Bachelorês degree or higher,"167,200"
NY,Marital status,Married,"211,584"
NY,Marital status,Widowed,"32,597"
NY,Marital status,Divorced/separated,"106,411"
NY,Marital status,Never married,"413,227"
NY,Marital status,Did not report,-
NY,Presence of children under 18 years old,Children in household,"410,915"
NY,Presence of children under 18 years old,No children,"352,904"
NY,Respondent or household member experienced loss of employment income,Yes,"552,063"
NY,Respondent or household member experienced loss of employment income,No,"211,756"
NY,Respondent or household member experienced loss of employment income,Did not report,-
NY,Respondent currently employed,Yes,"261,497"
NY,Respondent currently employed,No,"502,322"
NY,Respondent currently employed,Did not report,-
NY,Household income,"Less than $25,000","368,032"
NY,Household income,"$25,000 - $34,999","72,496"
NY,Household income,"$35,000 - $49,999","133,216"
NY,Household income,"$50,000 - $74,999","86,963"
NY,Household income,"$75,000 - $99,999","73,657"
NY,Household income,"$100,000 - $149,999","19,125"
NY,Household income,"$150,000 - $199,999","5,838"
NY,Household income,"$200,000 and above","4,491"
NY,Household income,Did not report,-
NC,Total,Total,"151,109"
NC,Age,18 - 24,"16,878"
NC,Age,25 - 39,"95,392"
NC,Age,40 - 54,"34,159"
NC,Age,55 - 64,"2,130"
NC,Age,65 and above,"2,550"
NC,Sex,Male,"21,020"
NC,Sex,Female,"130,089"
NC,Hispanic origin and Race,Hispanic or Latino (may be of any race),"32,044"
NC,Hispanic origin and Race,"White alone, not Hispanic","54,610"
NC,Hispanic origin and Race,"Black alone, not Hispanic","37,463"
NC,Hispanic origin and Race,"Asian alone, not Hispanic",-
NC,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","26,992"
NC,Education,Less than high school,"30,294"
NC,Education,High school or GED,"44,211"
NC,Education,Some college/associateês degree,"59,711"
NC,Education,Bachelorês degree or higher,"16,893"
NC,Marital status,Married,"57,203"
NC,Marital status,Widowed,-
NC,Marital status,Divorced/separated,"11,377"
NC,Marital status,Never married,"82,529"
NC,Marital status,Did not report,-
NC,Presence of children under 18 years old,Children in household,"105,127"
NC,Presence of children under 18 years old,No children,"45,982"
NC,Respondent or household member experienced loss of employment income,Yes,"132,115"
NC,Respondent or household member experienced loss of employment income,No,"18,994"
NC,Respondent or household member experienced loss of employment income,Did not report,-
NC,Respondent currently employed,Yes,"42,263"
NC,Respondent currently employed,No,"108,846"
NC,Respondent currently employed,Did not report,-
NC,Household income,"Less than $25,000","40,667"
NC,Household income,"$25,000 - $34,999","40,301"
NC,Household income,"$35,000 - $49,999","18,484"
NC,Household income,"$50,000 - $74,999","19,465"
NC,Household income,"$75,000 - $99,999","19,989"
NC,Household income,"$100,000 - $149,999",-
NC,Household income,"$150,000 - $199,999",-
NC,Household income,"$200,000 and above",-
NC,Household income,Did not report,"12,203"
ND,Total,Total,"7,547"
ND,Age,18 - 24,-
ND,Age,25 - 39,"5,584"
ND,Age,40 - 54,"1,963"
ND,Age,55 - 64,-
ND,Age,65 and above,-
ND,Sex,Male,"6,662"
ND,Sex,Female,885
ND,Hispanic origin and Race,Hispanic or Latino (may be of any race),120
ND,Hispanic origin and Race,"White alone, not Hispanic","4,509"
ND,Hispanic origin and Race,"Black alone, not Hispanic",-
ND,Hispanic origin and Race,"Asian alone, not Hispanic",-
ND,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","2,918"
ND,Education,Less than high school,-
ND,Education,High school or GED,"3,283"
ND,Education,Some college/associateês degree,"3,969"
ND,Education,Bachelorês degree or higher,295
ND,Marital status,Married,"5,191"
ND,Marital status,Widowed,-
ND,Marital status,Divorced/separated,940
ND,Marital status,Never married,"1,417"
ND,Marital status,Did not report,-
ND,Presence of children under 18 years old,Children in household,"3,259"
ND,Presence of children under 18 years old,No children,"4,288"
ND,Respondent or household member experienced loss of employment income,Yes,"7,372"
ND,Respondent or household member experienced loss of employment income,No,175
ND,Respondent or household member experienced loss of employment income,Did not report,-
ND,Respondent currently employed,Yes,"2,273"
ND,Respondent currently employed,No,"5,274"
ND,Respondent currently employed,Did not report,-
ND,Household income,"Less than $25,000",295
ND,Household income,"$25,000 - $34,999","3,784"
ND,Household income,"$35,000 - $49,999",547
ND,Household income,"$50,000 - $74,999",648
ND,Household income,"$75,000 - $99,999","2,273"
ND,Household income,"$100,000 - $149,999",-
ND,Household income,"$150,000 - $199,999",-
ND,Household income,"$200,000 and above",-
ND,Household income,Did not report,-
OH,Total,Total,"251,076"
OH,Age,18 - 24,"26,802"
OH,Age,25 - 39,"101,462"
OH,Age,40 - 54,"72,505"
OH,Age,55 - 64,"32,367"
OH,Age,65 and above,"17,940"
OH,Sex,Male,"85,674"
OH,Sex,Female,"165,403"
OH,Hispanic origin and Race,Hispanic or Latino (may be of any race),"18,593"
OH,Hispanic origin and Race,"White alone, not Hispanic","142,672"
OH,Hispanic origin and Race,"Black alone, not Hispanic","69,054"
OH,Hispanic origin and Race,"Asian alone, not Hispanic","15,894"
OH,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","4,864"
OH,Education,Less than high school,"60,117"
OH,Education,High school or GED,"109,638"
OH,Education,Some college/associateês degree,"62,871"
OH,Education,Bachelorês degree or higher,"18,450"
OH,Marital status,Married,"89,439"
OH,Marital status,Widowed,"3,232"
OH,Marital status,Divorced/separated,"77,656"
OH,Marital status,Never married,"80,749"
OH,Marital status,Did not report,-
OH,Presence of children under 18 years old,Children in household,"114,773"
OH,Presence of children under 18 years old,No children,"136,303"
OH,Respondent or household member experienced loss of employment income,Yes,"209,627"
OH,Respondent or household member experienced loss of employment income,No,"41,449"
OH,Respondent or household member experienced loss of employment income,Did not report,-
OH,Respondent currently employed,Yes,"32,530"
OH,Respondent currently employed,No,"218,546"
OH,Respondent currently employed,Did not report,-
OH,Household income,"Less than $25,000","137,647"
OH,Household income,"$25,000 - $34,999","36,388"
OH,Household income,"$35,000 - $49,999","33,292"
OH,Household income,"$50,000 - $74,999","13,911"
OH,Household income,"$75,000 - $99,999","7,362"
OH,Household income,"$100,000 - $149,999","22,476"
OH,Household income,"$150,000 - $199,999",-
OH,Household income,"$200,000 and above",-
OH,Household income,Did not report,-
OK,Total,Total,"116,626"
OK,Age,18 - 24,"49,396"
OK,Age,25 - 39,"33,480"
OK,Age,40 - 54,"32,227"
OK,Age,55 - 64,"1,524"
OK,Age,65 and above,-
OK,Sex,Male,"49,210"
OK,Sex,Female,"67,416"
OK,Hispanic origin and Race,Hispanic or Latino (may be of any race),"4,490"
OK,Hispanic origin and Race,"White alone, not Hispanic","99,165"
OK,Hispanic origin and Race,"Black alone, not Hispanic",-
OK,Hispanic origin and Race,"Asian alone, not Hispanic","1,656"
OK,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","11,316"
OK,Education,Less than high school,"2,231"
OK,Education,High school or GED,"71,968"
OK,Education,Some college/associateês degree,"34,934"
OK,Education,Bachelorês degree or higher,"7,494"
OK,Marital status,Married,"33,779"
OK,Marital status,Widowed,-
OK,Marital status,Divorced/separated,"14,124"
OK,Marital status,Never married,"68,724"
OK,Marital status,Did not report,-
OK,Presence of children under 18 years old,Children in household,"38,627"
OK,Presence of children under 18 years old,No children,"77,999"
OK,Respondent or household member experienced loss of employment income,Yes,"84,103"
OK,Respondent or household member experienced loss of employment income,No,"32,523"
OK,Respondent or household member experienced loss of employment income,Did not report,-
OK,Respondent currently employed,Yes,"66,434"
OK,Respondent currently employed,No,"50,192"
OK,Respondent currently employed,Did not report,-
OK,Household income,"Less than $25,000","35,308"
OK,Household income,"$25,000 - $34,999","48,654"
OK,Household income,"$35,000 - $49,999","26,720"
OK,Household income,"$50,000 - $74,999","5,944"
OK,Household income,"$75,000 - $99,999",-
OK,Household income,"$100,000 - $149,999",-
OK,Household income,"$150,000 - $199,999",-
OK,Household income,"$200,000 and above",-
OK,Household income,Did not report,-
OR,Total,Total,"65,047"
OR,Age,18 - 24,-
OR,Age,25 - 39,"34,924"
OR,Age,40 - 54,"18,711"
OR,Age,55 - 64,"10,648"
OR,Age,65 and above,764
OR,Sex,Male,"51,803"
OR,Sex,Female,"13,244"
OR,Hispanic origin and Race,Hispanic or Latino (may be of any race),"3,300"
OR,Hispanic origin and Race,"White alone, not Hispanic","48,479"
OR,Hispanic origin and Race,"Black alone, not Hispanic","3,675"
OR,Hispanic origin and Race,"Asian alone, not Hispanic","2,212"
OR,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","7,381"
OR,Education,Less than high school,"11,195"
OR,Education,High school or GED,"24,607"
OR,Education,Some college/associateês degree,"23,194"
OR,Education,Bachelorês degree or higher,"6,051"
OR,Marital status,Married,"13,473"
OR,Marital status,Widowed,-
OR,Marital status,Divorced/separated,"17,924"
OR,Marital status,Never married,"33,650"
OR,Marital status,Did not report,-
OR,Presence of children under 18 years old,Children in household,"24,213"
OR,Presence of children under 18 years old,No children,"40,834"
OR,Respondent or household member experienced loss of employment income,Yes,"51,731"
OR,Respondent or household member experienced loss of employment income,No,"13,317"
OR,Respondent or household member experienced loss of employment income,Did not report,-
OR,Respondent currently employed,Yes,"34,945"
OR,Respondent currently employed,No,"30,102"
OR,Respondent currently employed,Did not report,-
OR,Household income,"Less than $25,000","23,962"
OR,Household income,"$25,000 - $34,999","20,880"
OR,Household income,"$35,000 - $49,999","4,623"
OR,Household income,"$50,000 - $74,999","8,807"
OR,Household income,"$75,000 - $99,999","6,775"
OR,Household income,"$100,000 - $149,999",-
OR,Household income,"$150,000 - $199,999",-
OR,Household income,"$200,000 and above",-
OR,Household income,Did not report,-
PA,Total,Total,"303,382"
PA,Age,18 - 24,"27,203"
PA,Age,25 - 39,"125,599"
PA,Age,40 - 54,"148,805"
PA,Age,55 - 64,"1,775"
PA,Age,65 and above,-
PA,Sex,Male,"176,694"
PA,Sex,Female,"126,688"
PA,Hispanic origin and Race,Hispanic or Latino (may be of any race),"17,828"
PA,Hispanic origin and Race,"White alone, not Hispanic","96,776"
PA,Hispanic origin and Race,"Black alone, not Hispanic","148,109"
PA,Hispanic origin and Race,"Asian alone, not Hispanic","1,975"
PA,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","38,693"
PA,Education,Less than high school,"41,852"
PA,Education,High school or GED,"199,010"
PA,Education,Some college/associateês degree,"35,720"
PA,Education,Bachelorês degree or higher,"26,800"
PA,Marital status,Married,"141,003"
PA,Marital status,Widowed,-
PA,Marital status,Divorced/separated,"42,221"
PA,Marital status,Never married,"120,158"
PA,Marital status,Did not report,-
PA,Presence of children under 18 years old,Children in household,"118,669"
PA,Presence of children under 18 years old,No children,"184,713"
PA,Respondent or household member experienced loss of employment income,Yes,"259,997"
PA,Respondent or household member experienced loss of employment income,No,"43,385"
PA,Respondent or household member experienced loss of employment income,Did not report,-
PA,Respondent currently employed,Yes,"134,921"
PA,Respondent currently employed,No,"168,461"
PA,Respondent currently employed,Did not report,-
PA,Household income,"Less than $25,000","182,279"
PA,Household income,"$25,000 - $34,999","27,838"
PA,Household income,"$35,000 - $49,999","24,326"
PA,Household income,"$50,000 - $74,999","27,603"
PA,Household income,"$75,000 - $99,999",-
PA,Household income,"$100,000 - $149,999",-
PA,Household income,"$150,000 - $199,999",-
PA,Household income,"$200,000 and above",-
PA,Household income,Did not report,"41,336"
RI,Total,Total,"27,427"
RI,Age,18 - 24,"2,155"
RI,Age,25 - 39,"9,127"
RI,Age,40 - 54,"15,372"
RI,Age,55 - 64,593
RI,Age,65 and above,180
RI,Sex,Male,"9,763"
RI,Sex,Female,"17,664"
RI,Hispanic origin and Race,Hispanic or Latino (may be of any race),"2,440"
RI,Hispanic origin and Race,"White alone, not Hispanic","12,437"
RI,Hispanic origin and Race,"Black alone, not Hispanic","1,085"
RI,Hispanic origin and Race,"Asian alone, not Hispanic","7,821"
RI,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","3,645"
RI,Education,Less than high school,"6,259"
RI,Education,High school or GED,"16,078"
RI,Education,Some college/associateês degree,"4,911"
RI,Education,Bachelorês degree or higher,180
RI,Marital status,Married,"12,391"
RI,Marital status,Widowed,"1,384"
RI,Marital status,Divorced/separated,"7,135"
RI,Marital status,Never married,"6,517"
RI,Marital status,Did not report,-
RI,Presence of children under 18 years old,Children in household,"15,996"
RI,Presence of children under 18 years old,No children,"11,431"
RI,Respondent or household member experienced loss of employment income,Yes,"16,361"
RI,Respondent or household member experienced loss of employment income,No,"11,066"
RI,Respondent or household member experienced loss of employment income,Did not report,-
RI,Respondent currently employed,Yes,"3,775"
RI,Respondent currently employed,No,"23,653"
RI,Respondent currently employed,Did not report,-
RI,Household income,"Less than $25,000","12,681"
RI,Household income,"$25,000 - $34,999","1,358"
RI,Household income,"$35,000 - $49,999","9,821"
RI,Household income,"$50,000 - $74,999",-
RI,Household income,"$75,000 - $99,999","2,248"
RI,Household income,"$100,000 - $149,999",-
RI,Household income,"$150,000 - $199,999",-
RI,Household income,"$200,000 and above",-
RI,Household income,Did not report,"1,321"
SC,Total,Total,"90,551"
SC,Age,18 - 24,-
SC,Age,25 - 39,"37,345"
SC,Age,40 - 54,"39,540"
SC,Age,55 - 64,"11,539"
SC,Age,65 and above,"2,128"
SC,Sex,Male,"34,609"
SC,Sex,Female,"55,942"
SC,Hispanic origin and Race,Hispanic or Latino (may be of any race),"9,345"
SC,Hispanic origin and Race,"White alone, not Hispanic","52,482"
SC,Hispanic origin and Race,"Black alone, not Hispanic","16,101"
SC,Hispanic origin and Race,"Asian alone, not Hispanic",-
SC,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","12,622"
SC,Education,Less than high school,"21,403"
SC,Education,High school or GED,"24,326"
SC,Education,Some college/associateês degree,"39,093"
SC,Education,Bachelorês degree or higher,"5,730"
SC,Marital status,Married,"19,487"
SC,Marital status,Widowed,"10,361"
SC,Marital status,Divorced/separated,"36,486"
SC,Marital status,Never married,"24,218"
SC,Marital status,Did not report,-
SC,Presence of children under 18 years old,Children in household,"42,389"
SC,Presence of children under 18 years old,No children,"48,163"
SC,Respondent or household member experienced loss of employment income,Yes,"64,934"
SC,Respondent or household member experienced loss of employment income,No,"25,617"
SC,Respondent or household member experienced loss of employment income,Did not report,-
SC,Respondent currently employed,Yes,"34,297"
SC,Respondent currently employed,No,"56,254"
SC,Respondent currently employed,Did not report,-
SC,Household income,"Less than $25,000","48,673"
SC,Household income,"$25,000 - $34,999","21,147"
SC,Household income,"$35,000 - $49,999","8,284"
SC,Household income,"$50,000 - $74,999","3,717"
SC,Household income,"$75,000 - $99,999","8,730"
SC,Household income,"$100,000 - $149,999",-
SC,Household income,"$150,000 - $199,999",-
SC,Household income,"$200,000 and above",-
SC,Household income,Did not report,-
SD,Total,Total,"6,730"
SD,Age,18 - 24,-
SD,Age,25 - 39,"4,475"
SD,Age,40 - 54,335
SD,Age,55 - 64,"1,920"
SD,Age,65 and above,-
SD,Sex,Male,"3,398"
SD,Sex,Female,"3,332"
SD,Hispanic origin and Race,Hispanic or Latino (may be of any race),-
SD,Hispanic origin and Race,"White alone, not Hispanic","4,990"
SD,Hispanic origin and Race,"Black alone, not Hispanic",-
SD,Hispanic origin and Race,"Asian alone, not Hispanic",-
SD,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","1,740"
SD,Education,Less than high school,-
SD,Education,High school or GED,"3,398"
SD,Education,Some college/associateês degree,"2,999"
SD,Education,Bachelorês degree or higher,333
SD,Marital status,Married,"5,676"
SD,Marital status,Widowed,-
SD,Marital status,Divorced/separated,515
SD,Marital status,Never married,539
SD,Marital status,Did not report,-
SD,Presence of children under 18 years old,Children in household,"6,215"
SD,Presence of children under 18 years old,No children,515
SD,Respondent or household member experienced loss of employment income,Yes,"2,431"
SD,Respondent or household member experienced loss of employment income,No,"4,299"
SD,Respondent or household member experienced loss of employment income,Did not report,-
SD,Respondent currently employed,Yes,"4,655"
SD,Respondent currently employed,No,"2,075"
SD,Respondent currently employed,Did not report,-
SD,Household income,"Less than $25,000",515
SD,Household income,"$25,000 - $34,999",-
SD,Household income,"$35,000 - $49,999",539
SD,Household income,"$50,000 - $74,999","5,676"
SD,Household income,"$75,000 - $99,999",-
SD,Household income,"$100,000 - $149,999",-
SD,Household income,"$150,000 - $199,999",-
SD,Household income,"$200,000 and above",-
SD,Household income,Did not report,-
TN,Total,Total,"108,130"
TN,Age,18 - 24,-
TN,Age,25 - 39,"40,304"
TN,Age,40 - 54,"48,629"
TN,Age,55 - 64,"7,798"
TN,Age,65 and above,"11,399"
TN,Sex,Male,"14,795"
TN,Sex,Female,"93,334"
TN,Hispanic origin and Race,Hispanic or Latino (may be of any race),"1,979"
TN,Hispanic origin and Race,"White alone, not Hispanic","48,170"
TN,Hispanic origin and Race,"Black alone, not Hispanic","57,981"
TN,Hispanic origin and Race,"Asian alone, not Hispanic",-
TN,Hispanic origin and Race,"Two or more races + Other races, not Hispanic",-
TN,Education,Less than high school,-
TN,Education,High school or GED,"35,097"
TN,Education,Some college/associateês degree,"60,214"
TN,Education,Bachelorês degree or higher,"12,818"
TN,Marital status,Married,"30,309"
TN,Marital status,Widowed,"5,631"
TN,Marital status,Divorced/separated,"35,187"
TN,Marital status,Never married,"37,003"
TN,Marital status,Did not report,-
TN,Presence of children under 18 years old,Children in household,"52,354"
TN,Presence of children under 18 years old,No children,"55,776"
TN,Respondent or household member experienced loss of employment income,Yes,"91,268"
TN,Respondent or household member experienced loss of employment income,No,"16,862"
TN,Respondent or household member experienced loss of employment income,Did not report,-
TN,Respondent currently employed,Yes,"25,789"
TN,Respondent currently employed,No,"82,341"
TN,Respondent currently employed,Did not report,-
TN,Household income,"Less than $25,000","44,465"
TN,Household income,"$25,000 - $34,999","9,891"
TN,Household income,"$35,000 - $49,999","6,508"
TN,Household income,"$50,000 - $74,999","4,930"
TN,Household income,"$75,000 - $99,999","11,666"
TN,Household income,"$100,000 - $149,999","18,823"
TN,Household income,"$150,000 - $199,999",-
TN,Household income,"$200,000 and above",-
TN,Household income,Did not report,"11,845"
TX,Total,Total,"915,202"
TX,Age,18 - 24,"174,941"
TX,Age,25 - 39,"547,825"
TX,Age,40 - 54,"109,534"
TX,Age,55 - 64,"82,901"
TX,Age,65 and above,-
TX,Sex,Male,"436,613"
TX,Sex,Female,"478,589"
TX,Hispanic origin and Race,Hispanic or Latino (may be of any race),"359,269"
TX,Hispanic origin and Race,"White alone, not Hispanic","257,883"
TX,Hispanic origin and Race,"Black alone, not Hispanic","254,714"
TX,Hispanic origin and Race,"Asian alone, not Hispanic","4,904"
TX,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","38,432"
TX,Education,Less than high school,"69,264"
TX,Education,High school or GED,"501,103"
TX,Education,Some college/associateês degree,"288,644"
TX,Education,Bachelorês degree or higher,"56,190"
TX,Marital status,Married,"293,159"
TX,Marital status,Widowed,"50,371"
TX,Marital status,Divorced/separated,"174,558"
TX,Marital status,Never married,"397,114"
TX,Marital status,Did not report,-
TX,Presence of children under 18 years old,Children in household,"530,968"
TX,Presence of children under 18 years old,No children,"384,234"
TX,Respondent or household member experienced loss of employment income,Yes,"833,261"
TX,Respondent or household member experienced loss of employment income,No,"81,941"
TX,Respondent or household member experienced loss of employment income,Did not report,-
TX,Respondent currently employed,Yes,"272,971"
TX,Respondent currently employed,No,"638,208"
TX,Respondent currently employed,Did not report,"4,024"
TX,Household income,"Less than $25,000","285,675"
TX,Household income,"$25,000 - $34,999","302,787"
TX,Household income,"$35,000 - $49,999","108,476"
TX,Household income,"$50,000 - $74,999","126,268"
TX,Household income,"$75,000 - $99,999","58,661"
TX,Household income,"$100,000 - $149,999","4,938"
TX,Household income,"$150,000 - $199,999","20,272"
TX,Household income,"$200,000 and above",-
TX,Household income,Did not report,"8,125"
UT,Total,Total,"54,475"
UT,Age,18 - 24,-
UT,Age,25 - 39,"36,031"
UT,Age,40 - 54,"18,018"
UT,Age,55 - 64,426
UT,Age,65 and above,-
UT,Sex,Male,"26,464"
UT,Sex,Female,"28,011"
UT,Hispanic origin and Race,Hispanic or Latino (may be of any race),"4,341"
UT,Hispanic origin and Race,"White alone, not Hispanic","44,628"
UT,Hispanic origin and Race,"Black alone, not Hispanic","4,790"
UT,Hispanic origin and Race,"Asian alone, not Hispanic",414
UT,Hispanic origin and Race,"Two or more races + Other races, not Hispanic",302
UT,Education,Less than high school,-
UT,Education,High school or GED,"43,216"
UT,Education,Some college/associateês degree,"9,264"
UT,Education,Bachelorês degree or higher,"1,994"
UT,Marital status,Married,"28,480"
UT,Marital status,Widowed,-
UT,Marital status,Divorced/separated,"4,451"
UT,Marital status,Never married,"21,544"
UT,Marital status,Did not report,-
UT,Presence of children under 18 years old,Children in household,"42,312"
UT,Presence of children under 18 years old,No children,"12,162"
UT,Respondent or household member experienced loss of employment income,Yes,"22,357"
UT,Respondent or household member experienced loss of employment income,No,"32,117"
UT,Respondent or household member experienced loss of employment income,Did not report,-
UT,Respondent currently employed,Yes,"34,930"
UT,Respondent currently employed,No,"19,544"
UT,Respondent currently employed,Did not report,-
UT,Household income,"Less than $25,000","16,754"
UT,Household income,"$25,000 - $34,999","26,430"
UT,Household income,"$35,000 - $49,999","7,956"
UT,Household income,"$50,000 - $74,999","1,038"
UT,Household income,"$75,000 - $99,999","1,335"
UT,Household income,"$100,000 - $149,999",-
UT,Household income,"$150,000 - $199,999",962
UT,Household income,"$200,000 and above",-
UT,Household income,Did not report,-
VT,Total,Total,"20,220"
VT,Age,18 - 24,"2,320"
VT,Age,25 - 39,"5,340"
VT,Age,40 - 54,-
VT,Age,55 - 64,"1,105"
VT,Age,65 and above,"11,455"
VT,Sex,Male,"8,288"
VT,Sex,Female,"11,932"
VT,Hispanic origin and Race,Hispanic or Latino (may be of any race),-
VT,Hispanic origin and Race,"White alone, not Hispanic","17,170"
VT,Hispanic origin and Race,"Black alone, not Hispanic","1,945"
VT,Hispanic origin and Race,"Asian alone, not Hispanic",-
VT,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","1,105"
VT,Education,Less than high school,"2,320"
VT,Education,High school or GED,"12,560"
VT,Education,Some college/associateês degree,"5,340"
VT,Education,Bachelorês degree or higher,-
VT,Marital status,Married,"13,401"
VT,Marital status,Widowed,-
VT,Marital status,Divorced/separated,-
VT,Marital status,Never married,"6,819"
VT,Marital status,Did not report,-
VT,Presence of children under 18 years old,Children in household,477
VT,Presence of children under 18 years old,No children,"19,744"
VT,Respondent or household member experienced loss of employment income,Yes,"20,220"
VT,Respondent or household member experienced loss of employment income,No,-
VT,Respondent or household member experienced loss of employment income,Did not report,-
VT,Respondent currently employed,Yes,"3,050"
VT,Respondent currently employed,No,"17,170"
VT,Respondent currently employed,Did not report,-
VT,Household income,"Less than $25,000","13,775"
VT,Household income,"$25,000 - $34,999","1,581"
VT,Household income,"$35,000 - $49,999","2,918"
VT,Household income,"$50,000 - $74,999","1,945"
VT,Household income,"$75,000 - $99,999",-
VT,Household income,"$100,000 - $149,999",-
VT,Household income,"$150,000 - $199,999",-
VT,Household income,"$200,000 and above",-
VT,Household income,Did not report,-
VA,Total,Total,"145,752"
VA,Age,18 - 24,"6,027"
VA,Age,25 - 39,"88,289"
VA,Age,40 - 54,"25,095"
VA,Age,55 - 64,"18,838"
VA,Age,65 and above,"7,503"
VA,Sex,Male,"47,517"
VA,Sex,Female,"98,235"
VA,Hispanic origin and Race,Hispanic or Latino (may be of any race),"55,223"
VA,Hispanic origin and Race,"White alone, not Hispanic","40,465"
VA,Hispanic origin and Race,"Black alone, not Hispanic","45,816"
VA,Hispanic origin and Race,"Asian alone, not Hispanic","1,192"
VA,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","3,055"
VA,Education,Less than high school,"13,294"
VA,Education,High school or GED,"53,718"
VA,Education,Some college/associateês degree,"41,103"
VA,Education,Bachelorês degree or higher,"37,637"
VA,Marital status,Married,"60,957"
VA,Marital status,Widowed,"2,155"
VA,Marital status,Divorced/separated,"46,340"
VA,Marital status,Never married,"36,300"
VA,Marital status,Did not report,-
VA,Presence of children under 18 years old,Children in household,"95,648"
VA,Presence of children under 18 years old,No children,"50,104"
VA,Respondent or household member experienced loss of employment income,Yes,"136,159"
VA,Respondent or household member experienced loss of employment income,No,"9,593"
VA,Respondent or household member experienced loss of employment income,Did not report,-
VA,Respondent currently employed,Yes,"53,463"
VA,Respondent currently employed,No,"92,289"
VA,Respondent currently employed,Did not report,-
VA,Household income,"Less than $25,000","64,698"
VA,Household income,"$25,000 - $34,999","29,071"
VA,Household income,"$35,000 - $49,999","42,845"
VA,Household income,"$50,000 - $74,999","8,650"
VA,Household income,"$75,000 - $99,999",487
VA,Household income,"$100,000 - $149,999",-
VA,Household income,"$150,000 - $199,999",-
VA,Household income,"$200,000 and above",-
VA,Household income,Did not report,-
WA,Total,Total,"164,795"
WA,Age,18 - 24,"3,900"
WA,Age,25 - 39,"107,275"
WA,Age,40 - 54,"33,036"
WA,Age,55 - 64,"12,244"
WA,Age,65 and above,"8,341"
WA,Sex,Male,"97,231"
WA,Sex,Female,"67,564"
WA,Hispanic origin and Race,Hispanic or Latino (may be of any race),"23,771"
WA,Hispanic origin and Race,"White alone, not Hispanic","68,596"
WA,Hispanic origin and Race,"Black alone, not Hispanic","19,150"
WA,Hispanic origin and Race,"Asian alone, not Hispanic","27,277"
WA,Hispanic origin and Race,"Two or more races + Other races, not Hispanic","26,002"
WA,Education,Less than high school,"39,172"
WA,Education,High school or GED,"64,704"
WA,Education,Some college/associateês degree,"44,772"
WA,Education,Bachelorês degree or higher,"16,148"
WA,Marital status,Married,"57,942"
WA,Marital status,Widowed,-
WA,Marital status,Divorced/separated,"30,487"
WA,Marital status,Never married,"75,226"
WA,Marital status,Did not report,"1,140"
WA,Presence of children under 18 years old,Children in household,"68,718"
WA,Presence of children under 18 years old,No children,"96,078"
WA,Respondent or household member experienced loss of employment income,Yes,"148,081"
WA,Respondent or household member experienced loss of employment income,No,"16,715"
WA,Respondent or household member experienced loss of employment income,Did not report,-
WA,Respondent currently employed,Yes,"51,895"
WA,Respondent currently employed,No,"112,900"
WA,Respondent currently employed,Did not report,-
WA,Household income,"Less than $25,000","71,595"
WA,Household income,"$25,000 - $34,999","23,418"
WA,Household income,"$35,000 - $49,999","18,442"
WA,Household income,"$50,000 - $74,999","29,168"
WA,Household income,"$75,000 - $99,999","15,980"
WA,Household income,"$100,000 - $149,999","6,191"
WA,Household income,"$150,000 - $199,999",-
